item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD02718,PROD0064,2,4024.41,20
ITEM00002,ORD02499,PROD0037,3,7851.29,15
ITEM00004,ORD01109,PROD0043,1,429.46,20
ITEM00005,ORD00923,PROD0359,4,3899.1,5
ITEM00006,ORD00088,PROD0057,1,6222.86,5
ITEM00007,ORD02189,PROD0389,1,4487.09,0
ITEM00008,ORD01586,PROD0387,2,3523.29,15
ITEM00009,ORD02251,PROD0142,1,3587.93,20
ITEM00010,ORD01507,PROD0361,2,2843.54,0
ITEM00011,ORD00976,PROD0238,1,4770.65,5
ITEM00012,ORD01692,PROD0550,5,509.37,0
ITEM00013,ORD02949,PROD0256,1,751.4,5
ITEM00014,ORD01797,PROD0185,3,493.2,10
ITEM00015,ORD02468,PROD0251,3,1168.27,15
ITEM00016,ORD01961,PROD0126,1,749.57,20
ITEM00017,ORD00844,PROD0507,3,7196.48,5
ITEM00018,ORD01817,PROD0310,3,6274.64,10
ITEM00019,ORD02678,PROD0251,5,7159.88,10
ITEM00020,ORD02859,PROD0555,5,969.37,10
ITEM00021,ORD01683,PROD0498,3,765.8,5
ITEM00022,ORD02134,PROD0237,3,5973.98,5
ITEM00023,ORD00503,PROD0382,2,431.56,5
ITEM00024,ORD02861,PROD0451,4,7631.4,0
ITEM00026,ORD01231,PROD0087,1,2340.88,20
ITEM00027,ORD01573,PROD0508,1,6922.77,15
ITEM00028,ORD01819,PROD0046,2,1764.98,5
ITEM00029,ORD02704,PROD0442,5,560.24,10
ITEM00030,ORD00129,PROD0555,3,7507.21,20
ITEM00031,ORD01378,PROD0269,5,1849.87,0
ITEM00033,ORD00234,PROD0112,5,3196.67,25
ITEM00034,ORD02777,PROD0295,5,3788.49,20
ITEM00035,ORD02946,PROD0582,5,2191.79,15
ITEM00036,ORD01915,PROD0244,2,7275.54,10
ITEM00038,ORD01212,PROD0346,5,3247.62,20
ITEM00039,ORD01124,PROD0371,3,5324.96,25
ITEM00040,ORD02491,PROD0013,1,2559.13,25
ITEM00041,ORD01315,PROD0271,2,3633.9,0
ITEM00042,ORD01802,PROD0010,4,440.48,10
ITEM00043,ORD01967,PROD0570,2,3357.6,20
ITEM00046,ORD01064,PROD0507,2,1935.24,5
ITEM00047,ORD00602,PROD0051,2,1048.41,0
ITEM00048,ORD00755,PROD0519,4,4702.14,0
ITEM00049,ORD02267,PROD0234,1,7620.87,10
ITEM00050,ORD01055,PROD0017,3,4392.46,0
ITEM00052,ORD01818,PROD0116,5,757.98,5
ITEM00053,ORD01335,PROD0585,3,6658.73,25
ITEM00054,ORD01704,PROD0074,4,7025.45,5
ITEM00055,ORD00102,PROD0335,5,6337.09,10
ITEM00056,ORD01672,PROD0384,4,7548.46,10
ITEM00057,ORD02548,PROD0032,2,3041.17,10
ITEM00058,ORD00615,PROD0027,1,4930.95,10
ITEM00059,ORD02093,PROD0521,5,5745.8,5
ITEM00060,ORD01552,PROD0597,1,5307.92,5
ITEM00061,ORD01561,PROD0081,1,7675.21,5
ITEM00062,ORD02316,PROD0516,5,5098.05,25
ITEM00063,ORD01713,PROD0552,1,6803.62,150
ITEM00064,ORD00211,PROD0484,5,4234.64,10
ITEM00067,ORD00473,PROD0247,4,5902.47,15
ITEM00068,ORD01483,PROD0082,3,4549.59,0
ITEM00070,ORD00942,PROD0584,2,7416.88,5
ITEM00071,ORD01670,PROD0599,2,4903.53,10
ITEM00072,ORD01400,PROD0322,1,789.82,15
ITEM00073,ORD02069,PROD0152,5,4029.47,5
ITEM00074,ORD00737,PROD0465,1,1459.15,15
ITEM00075,ORD01079,PROD0568,4,5981.4,5
ITEM00076,ORD00140,PROD0442,1,5566.87,0
ITEM00077,ORD00543,PROD0528,5,7361.19,15
ITEM00078,ORD01452,PROD0131,4,5620.89,5
ITEM00079,ORD02917,PROD0301,1,2793.95,10
ITEM00080,ORD02423,PROD0111,1,728.96,10
ITEM00081,ORD01839,PROD0419,4,5964.48,15
ITEM00082,ORD01185,PROD0489,2,5907.53,25
ITEM00083,ORD02415,PROD0522,1,1345.21,0
ITEM00084,ORD02432,PROD0379,4,3128.09,15
ITEM00085,ORD00724,PROD0521,5,2342.5,0
ITEM00086,ORD00952,PROD0305,4,2827.77,20
ITEM00087,ORD02121,PROD0538,5,4139.59,15
ITEM00088,ORD01169,PROD0331,4,2650.84,5
ITEM00091,ORD00486,PROD0295,3,3970.09,5
ITEM00092,ORD00694,PROD0296,3,7912.12,0
ITEM00093,ORD00949,PROD0286,2,903.41,20
ITEM00094,ORD02084,PROD0173,1,4847.37,0
ITEM00095,ORD02212,PROD0551,2,202.32,0
ITEM00096,ORD01514,PROD0209,3,7543.18,20
ITEM00097,ORD01747,PROD0456,5,1140.5,15
ITEM00098,ORD01209,PROD0113,1,3638.58,15
ITEM00099,ORD02021,PROD0270,1,6936.35,10
ITEM00100,ORD02997,PROD0120,3,6458.58,25
ITEM00101,ORD00912,PROD0077,3,1380.31,10
ITEM00102,ORD01131,PROD0465,5,5425.84,0
ITEM00103,ORD02896,PROD0323,1,3552.01,25
ITEM00104,ORD02136,PROD0326,2,6755.23,25
ITEM00105,ORD02565,PROD0037,1,2080.42,20
ITEM00106,ORD01541,PROD0226,2,2232.5,5
ITEM00107,ORD01985,PROD0192,4,2368.41,5
ITEM00108,ORD02601,PROD0091,5,6878.68,25
