order_id,customer_id,order_date,status,region_code
ORD00001,CUST0016,2026-06-24,Shipped,South
ORD00002,CUST0121,2026-03-08,Cancelled,South
ORD00004,CUST0566,2025-12-09,Delivered,East
ORD00005,CUST0390,2026-07-12,Cancelled,East
ORD00006,CUST0316,2025-09-29,Delivered,East
ORD00007,CUST0526,2026-06-30,Cancelled,West
ORD00008,CUST0101,2024-11-17,Cancelled,East
ORD00009,CUST0209,,Delivered,East
ORD00011,CUST0150,2025-09-23,Placed,East
ORD00013,CUST0303,2026-01-27,Shipped,South
ORD00014,CUST0338,2024-10-17,Shipped,West
ORD00015,CUST0584,2024-12-08,Shipped,West
ORD00016,CUST0564,2025-03-21,Delivered,East
ORD00017,CUST0501,2026-05-01,Cancelled,West
ORD00018,CUST0173,2026-06-01,Delivered,South
ORD00019,CUST0144,2024-11-08,Returned,West
ORD00020,CUST0189,2026-02-02,Returned,North
ORD00021,CUST0537,2024-08-09,Placed,North
ORD00022,CUST0050,2026-03-04,Placed,West
ORD00023,CUST0141,2025-03-22,Shipped,North
ORD00024,CUST0155,2026-06-01,Placed,South
ORD00025,CUST0518,2025-06-04,Cancelled,East
ORD00026,CUST0062,2025-06-02,Returned,West
ORD00027,CUST0500,2025-03-10,Placed,North
ORD00028,CUST0545,2025-06-27,Returned,West
ORD00030,CUST0549,2026-07-13,Delivered,North
ORD00031,CUST0515,2026-04-17,Cancelled,South
ORD00032,CUST0110,2026-06-12,Placed,South
ORD00033,CUST0247,2025-11-24,Shipped,East
ORD00034,CUST0363,2026-07-12,Delivered,West
ORD00035,CUST0081,2026-02-11,Delivered,West
ORD00036,CUST0471,2025-02-15,Returned,South
ORD00037,CUST0232,2024-11-13,Delivered,North
ORD00038,CUST0033,2026-03-15,Placed,West
ORD00039,CUST0389,2024-12-10,Cancelled,West
ORD00040,CUST0058,2024-10-08,Placed,South
ORD00041,CUST0085,2024-10-28,Cancelled,West
ORD00042,CUST0340,2024-12-08,Returned,North
ORD00043,CUST0541,2024-08-07,Placed,South
ORD00044,CUST0217,2026-03-02,Returned,West
ORD00045,CUST0278,2025-11-05,Placed,North
ORD00046,CUST0288,2025-11-09,Returned,North
ORD00047,CUST0184,2025-02-10,Delivered,North
ORD00048,CUST0213,2025-10-31,Returned,South
ORD00049,CUST0408,2025-10-01,Placed,East
ORD00050,CUST0167,2025-11-05,Returned,South
ORD00051,CUST0581,2025-01-13,Cancelled,East
ORD00052,CUST0394,2025-10-24,Shipped,North
ORD00053,CUST0513,2025-01-14,Delivered,North
ORD00054,CUST0101,2025-01-13,Cancelled,South
ORD00055,CUST0078,2026-01-02,Delivered,West
ORD00056,CUST0335,2024-08-07,Placed,East
ORD00057,CUST0462,2025-04-23,Cancelled,South
ORD00058,CUST0365,2024-09-17,Returned,West
ORD00059,CUST0443,2026-01-03,Shipped,West
ORD00060,CUST0088,2026-03-15,Returned,East
ORD00061,CUST0253,2025-07-23,Placed,North
ORD00062,CUST0275,2024-10-30,Shipped,West
ORD00063,CUST0158,2025-08-12,Cancelled,East
ORD00064,CUST0370,2026-05-06,Placed,North
ORD00065,CUST0006,2025-10-30,Delivered,West
ORD00066,CUST0369,2025-07-17,Delivered,North
ORD00067,CUST0136,2026-01-22,Placed,South
ORD00070,CUST0363,2024-12-07,Returned,North
ORD00071,CUST0333,2026-05-10,Cancelled,North
ORD00072,CUST0299,2025-05-14,Cancelled,West
ORD00073,CUST0087,2025-08-03,Returned,South
ORD00074,CUST0586,2025-07-21,Returned,South
ORD00075,CUST0390,2024-11-01,Shipped,South
ORD00076,CUST0276,2024-11-22,Delivered,East
ORD00077,CUST0505,2024-12-15,Shipped,North
ORD00078,CUST0172,2025-01-09,Cancelled,East
ORD00079,CUST0432,2024-08-12,Delivered,West
ORD00080,CUST0079,2025-05-31,Delivered,East
ORD00081,CUST0253,2026-03-03,Cancelled,South
ORD00082,CUST0469,2024-07-29,Placed,South
ORD00083,CUST0312,2026-07-06,Placed,West
ORD00084,CUST0341,2025-02-12,Returned,West
ORD00085,CUST0338,2025-06-03,Cancelled,East
ORD00086,CUST0441,2025-01-06,Returned,South
ORD00087,CUST0308,2026-02-14,Delivered,South
ORD00088,CUST0491,2025-12-21,Delivered,South
ORD00089,CUST0408,2024-12-22,Delivered,East
ORD00090,CUST0503,2026-02-26,Returned,South
ORD00091,CUST0334,2024-12-23,Cancelled,East
ORD00092,CUST0403,2024-09-07,Delivered,North
ORD00093,CUST0578,2024-12-02,Shipped,South
ORD00094,CUST0564,2026-07-08,Placed,West
ORD00095,CUST0215,2025-06-24,Cancelled,East
ORD00096,CUST0071,2026-05-22,Cancelled,West
ORD00097,CUST0143,2025-11-09,Delivered,South
ORD00098,CUST0259,2025-08-02,Shipped,West
ORD00099,CUST0387,2026-01-03,Placed,West
ORD00100,CUST0491,2025-03-27,Returned,West
ORD00101,CUST0548,2026-05-22,Returned,West
ORD00102,CUST0557,2025-07-08,Placed,East
ORD00103,CUST0550,2026-06-07,Returned,North
ORD00104,CUST0112,2025-01-25,Shipped,East
ORD00106,CUST0577,2025-05-28,Cancelled,East
ORD00107,CUST0441,2026-03-12,Placed,North
ORD00108,CUST0101,2024-08-19,Delivered,South
ORD00109,CUST0523,2025-11-02,Returned,South
ORD00110,CUST0457,2026-02-09,Delivered,West
ORD00111,CUST0475,2026-04-19,Returned,South
ORD00112,CUST0354,2025-05-09,Placed,West
ORD00113,CUST0108,2026-01-28,Delivered,West
ORD00114,CUST0088,2025-03-18,Placed,South
ORD00116,CUST0467,2025-11-04,Shipped,West
ORD00117,CUST0357,2026-07-17,Cancelled,North
ORD00118,CUST0449,2026-02-14,Cancelled,East
ORD00119,CUST0069,2025-10-05,Delivered,North
ORD00120,CUST0118,2025-10-22,Placed,East
ORD00121,CUST0112,2025-09-07,Shipped,South
ORD00122,CUST0529,2025-08-29,Shipped,South
ORD00123,CUST0339,2025-11-28,Returned,West
ORD00124,CUST0474,2026-05-29,Shipped,West
ORD00125,CUST0189,2026-01-15,Shipped,West
ORD00126,CUST0406,2026-03-21,Placed,South
ORD00127,CUST0461,2024-08-16,Returned,West
ORD00128,CUST0399,2025-08-26,Placed,South
ORD00129,CUST0211,2024-10-10,Delivered,North
ORD00130,CUST0592,2025-07-03,Placed,South
ORD00131,CUST0375,2025-07-07,Delivered,South
ORD00132,CUST0469,2026-04-21,Placed,East
ORD00133,CUST0502,2026-05-30,Returned,East
ORD00134,CUST0398,2024-08-19,Returned,West
ORD00135,CUST0117,2026-05-30,Delivered,East
ORD00136,CUST0469,2025-01-24,Returned,South
ORD00137,CUST0305,2025-08-24,Returned,North
ORD00138,CUST0138,2025-09-08,Delivered,North
ORD00139,CUST0245,2025-05-21,Delivered,North
ORD00140,CUST0188,2026-02-09,Delivered,South
ORD00141,CUST0524,2024-08-17,Cancelled,West
ORD00142,CUST0142,2025-09-24,Returned,West
ORD00144,CUST0551,2025-08-22,Shipped,South
ORD00145,CUST0502,2026-03-04,Delivered,South
ORD00146,CUST0192,2025-11-19,Delivered,West
ORD00147,CUST0055,2024-08-25,Delivered,North
ORD00149,CUST0394,2025-03-01,Returned,West
ORD00150,CUST0419,2025-06-24,Cancelled,West
ORD00151,CUST0455,2025-05-23,Cancelled,South
ORD00152,CUST0085,2026-06-04,Returned,North
ORD00153,CUST0226,2025-03-11,Delivered,North
ORD00154,CUST0282,2026-03-10,Shipped,East
ORD00155,CUST0173,2026-04-21,Cancelled,West
ORD00156,CUST0563,2025-02-25,Returned,North
ORD00157,CUST0587,2025-07-11,Placed,East
ORD00158,CUST0557,2024-11-24,Delivered,North
