product_id,product_name,category,subcategory,cost_price
PROD0001,Memory Lamp,Home,Lamp,2264.75
PROD0002,Seat Shoes,Clothing,Shoes,3989.3
PROD0003,Left Shirt,Clothing,Shirt,1490.55
PROD0004,Operation Cream,Beauty,Cream,557.6
PROD0005,Financial Jacket,Clothing,Jacket,1200.74
PROD0006,Occur Jeans,Clothing,Jeans,219.68
PROD0007,Same Shoes,Clothing,Shoes,3095.24
PROD0008,Might Camera,Electronics,Camera,2130.76
PROD0009,Customer Perfume,Beauty,Perfume,3619.89
PROD0010,Our Education,Books,Education,2058.3
PROD0011,Culture Shirt,Clothing,Shirt,4474.03
PROD0012,OF CAMERA,Electronics,Camera,1172.32
PROD0013,Happen Face Wash,Beauty,Face Wash,346.07
PROD0014,Game Shirt,Clothing,Shirt,2336.66
PROD0015,Sign Biography,Books,Biography,4755.19
PROD0016,Management Education,Books,Education,4169.79
PROD0017,Face Face Wash,Beauty,Face Wash,4496.32
PROD0018,Trip Education,Books,Education,1370.04
PROD0019,Theory Jacket,Clothing,Jacket,3852.49
PROD0020,PLACE FACE WASH,Beauty,Face Wash,3171.07
PROD0021,Who Lamp,Home,Lamp,479.67
PROD0022,TRADITIONAL TABLE,Home,Table,1431.4
PROD0023,Once Chair,Home,Chair,778.03
PROD0024,College Shoes,Clothing,Shoes,3500.35
PROD0025,Authority Shirt,Clothing,Shirt,2132.85
PROD0026,Nice Lamp,Home,Lamp,2137.29
PROD0027,Clear Shoes,Clothing,Shoes,2008.44
PROD0028,LISTEN LIPSTICK,Beauty,Lipstick,4297.99
PROD0029,Find Face Wash,Beauty,Face Wash,2437.2
PROD0030,TEN SOFA,Home,Sofa,3792.03
PROD0031,Everyone Comics,Books,Comics,2492.32
PROD0032,Number Lamp,Home,Lamp,2479.65
PROD0033,Hit Biography,Books,Biography,3377.48
PROD0034,Long Comics,Books,Comics,4218.48
PROD0035,A Shirt,Clothing,Shirt,4543.95
PROD0036,Stand Lipstick,Beauty,Lipstick,511.34
PROD0037,Pull Comics,Books,Comics,4347.57
PROD0038,Move Shirt,Clothing,Shirt,1374.77
PROD0039,Hundred Table,Home,Table,2328.03
PROD0040,Similar Lamp,Home,Lamp,1463.46
PROD0041,Crime Biography,Books,Biography,4191.06
PROD0042,Use Novel,Books,Novel,3770.22
PROD0043,After Headphones,Electronics,Headphones,1198.69
PROD0044,President Mobile,Electronics,Mobile,3795.74
PROD0045,Tough Jeans,Clothing,Jeans,4212.22
PROD0046,Himself Perfume,Beauty,Perfume,1268.87
PROD0047,Stand Novel,Books,Novel,2863.45
PROD0048,Pressure Shoes,Clothing,Shoes,3527.38
PROD0049,Edge Table,Home,Table,3068.87
PROD0050,Full Laptop,Electronics,Laptop,4827.13
PROD0051,Set Mobile,Electronics,Mobile,4651.55
PROD0052,At Face Wash,Beauty,Face Wash,2043.61
PROD0053,Reason Shirt,Clothing,Shirt,3001.28
PROD0054,Nothing Shirt,Clothing,Shirt,3516.25
PROD0055,Tell Chair,Home,Chair,4001.51
PROD0056,Impact Lipstick,Beauty,Lipstick,1801.3
PROD0057,Customer Biography,Books,Biography,437.89
PROD0058,Need Chair,Home,Chair,4262.92
PROD0059,Result Novel,Books,Novel,2224.26
PROD0060,Modern Lamp,Home,Lamp,3565.81
PROD0061,Space Comics,Books,Comics,3695.6
PROD0062,Ok Lamp,Home,Lamp,2377.88
PROD0063,Class Cream,Beauty,Cream,1679.29
PROD0064,POSITION SHIRT,Clothing,Shirt,1466.75
PROD0065,Fear Comics,Books,Comics,3777.33
PROD0066,Future Face Wash,Beauty,Face Wash,1748.34
PROD0067,It Biography,Books,Biography,991.02
PROD0068,Put Jacket,Clothing,Jacket,4009.38
PROD0069,Fund Sofa,Home,Sofa,4413.57
PROD0070,Bring Chair,Home,Chair,2631.47
PROD0071,Big Shirt,Clothing,Shirt,1282.64
PROD0072,Necessary Education,Books,Education,2820.36
PROD0073,Reason Shoes,Clothing,Shoes,3264.92
PROD0074,Audience Education,Books,Education,3985.37
PROD0075,Animal Headphones,Electronics,Headphones,1185.82
PROD0076,Thing Jacket,Clothing,Jacket,3353.4
PROD0077,Writer Lamp,Home,Lamp,2812.02
PROD0078,Carry Lamp,Home,Lamp,4983.49
PROD0079,COULD CREAM,Beauty,Cream,1823.87
PROD0080,Tv Biography,Books,Biography,1602.45
PROD0081,Almost Shirt,Clothing,Shirt,3634.29
PROD0082,Defense Chair,Home,Chair,3740.12
PROD0083,Both Jeans,Clothing,Jeans,1160.28
PROD0084,Mention Biography,Books,Biography,3650.47
PROD0085,Dark Cream,Beauty,Cream,4904.5
PROD0086,Bit Jacket,Clothing,Jacket,1214.67
PROD0087,Almost Jacket,Clothing,Jacket,169.33
PROD0088,OWN PERFUME,Beauty,Perfume,1444.13
PROD0089,Quality Headphones,Electronics,Headphones,3517.35
PROD0090,Think Shoes,Clothing,Shoes,602.68
PROD0091,Important Headphones,Electronics,Headphones,2400.05
PROD0092,Really Biography,Books,Biography,1003.38
PROD0093,Might Headphones,Electronics,Headphones,4711.21
PROD0094,Never Novel,Books,Novel,4128.37
PROD0095,Price Education,Books,Education,463.0
PROD0096,Science Laptop,Electronics,Laptop,831.07
PROD0097,Performance Cream,Beauty,Cream,517.39
PROD0098,Establish Shirt,Clothing,Shirt,2834.56
PROD0099,Appear Comics,Books,Comics,3900.9
PROD0100,Hit Education,Books,Education,4551.67
PROD0101,Do Lamp,Home,Lamp,1596.36
PROD0102,Police Lipstick,Beauty,Lipstick,3087.19
PROD0103,Serious Laptop,Electronics,Laptop,3165.02
PROD0104,Avoid Chair,Home,Chair,869.58
PROD0105,Add Shirt,Clothing,Shirt,867.01
PROD0106,Wonder Education,Books,Education,3477.92
PROD0107,Will Biography,Books,Biography,259.94
PROD0108,Detail Sofa,Home,Sofa,3544.64
PROD0109,Reality Novel,Books,Novel,3468.19
PROD0110,Million Table,Home,Table,2183.18
PROD0111,Without Perfume,Beauty,Perfume,3273.41
PROD0112,Voice Table,Home,Table,449.91
PROD0113,THERE JACKET,Clothing,Jacket,3015.72
PROD0114,BASE CREAM,Beauty,Cream,2251.85
PROD0115,Management Biography,Books,Biography,3528.7
PROD0116,Suddenly Lamp,Home,Lamp,2245.02
PROD0117,Purpose Lipstick,Beauty,Lipstick,4458.17
PROD0118,Ask Sofa,Home,Sofa,226.74
PROD0119,Herself Shirt,Clothing,Shirt,4997.9
PROD0120,Open Chair,Home,Chair,3839.23
PROD0121,Six Shoes,Clothing,Shoes,2642.92
PROD0122,Writer Biography,Books,Biography,989.3
PROD0123,Voice Face Wash,Beauty,Face Wash,3210.45
PROD0124,Just Novel,Books,Novel,2403.05
PROD0125,Term Biography,Books,Biography,1673.19
PROD0126,Home Laptop,Electronics,Laptop,1716.04
PROD0127,Study Biography,Books,Biography,3346.66
PROD0128,SECTION NOVEL,Books,Novel,2328.65
PROD0129,Article Sofa,Home,Sofa,1684.04
PROD0130,Than Novel,Books,Novel,3322.54
PROD0131,Practice Face Wash,Beauty,Face Wash,2124.91
PROD0132,Exactly Jacket,Clothing,Jacket,3150.91
PROD0133,Newspaper Education,Books,Education,3823.95
PROD0134,Amount Jacket,Clothing,Jacket,2791.18
PROD0135,SIMILAR LAMP,Home,Lamp,4416.15
PROD0136,Avoid Novel,Books,Novel,241.46
PROD0137,They Perfume,Beauty,Perfume,3577.94
PROD0138,Fly Chair,Home,Chair,2806.03
PROD0139,Bank Laptop,Electronics,Laptop,4962.06
PROD0140,YOU CAMERA,Electronics,Camera,4740.6
